Name,Province,ClimateID,WMOID,TCID,Lat,Lng,Elev,hlyStartYear,hlyEndYear,dlyStartYear,dlyEndYear,mlyStartYear,mlyEndYear
RACE ROCKS LIGHTSTATION,BC,1016641,,,48.3,-123.53,4.9,,,1984,1997,1984,1997
RIVER JORDAN,BC,1016780,,,48.42,-124.05,3,,,1908,1972,1908,1972
SAANICHTON CDA,BC,1016940,,,48.62,-123.42,61,,,1914,2019,1914,2007
SAANICH CAMOSUN COLLEGE,BC,1016941,,,48.5,-123.42,38.1,,,1974,1975,1974,1975
SAANICH DENSMORE,BC,1016942,,,48.5,-123.4,59,,,1963,1992,1963,1992
SALTAIR,BC,1016980,,,48.97,-123.77,15.2,,,1959,1967,1959,1967
SALTSPRING ISLAND,BC,1016990,,,48.85,-123.5,73.2,,,1893,1977,1893,1977
SALTSPRING IS CUSHEON LK,BC,1016992,,,48.82,-123.48,107.9,,,1976,2001,1976,2001
SALTSPRING ST MARY'S L,BC,1016995,,,48.89,-123.55,45.7,,,1975,2019,1975,2007
SAANICH DOM ASTRO OBS,BC,10169DK,,,48.52,-123.42,222.5,,,1916,1977,1916,1977
SAANICH OLDFIELD,BC,10169MK,,,48.55,-123.42,69.8,,,1965,1966,1965,1966
SAANICHTON MT NEWTON,BC,1016RM0,,,48.6,-123.43,42.7,,,1980,2019,1980,2007
SALTSPRING VESUVIUS,BC,1017000,,,48.88,-123.57,7.6,,,1955,1975,1955,1975
SATURNA CAPMON,BC,1017098,,,48.78,-123.13,178,,,1989,2017,1989,2007
SATURNA CAPMON CS,BC,1017099,71914,VTS,48.78,-123.13,178,2006,2019,1991,2019,1991,2007
SATURNA ISLAND CS,BC,1017101,71473,WEZ,48.78,-123.04,24.4,1994,2019,1980,2019,1980,2007
SHAWNIGAN LAKE,BC,1017230,,,48.65,-123.63,159,,,1911,2019,1911,2007
SHAWNIGAN LAKE NORTH,BC,1017233,,,48.65,-123.63,149.4,,,1973,1976,1973,1976
SHERINGHAM POINT,BC,1017254,71780,WSP,48.38,-123.92,6.9,1994,2019,1992,2019,1992,2007
SIDNEY DEEP COVE,BC,1017329,,,48.68,-123.4,18.3,,,1967,1973,1967,1973
SOOKE,BC,1017556,,,48.37,-123.73,27.4,,,1970,1992,1970,1992
SOOKE GLINZ LAKE,BC,1017559,,,48.42,-123.63,256,,,1983,1995,1983,1995
SOOKE LAKE,BC,1017560,,,48.52,-123.7,172.8,,,1903,1966,1903,1966
SOOKE LAKE NORTH,BC,1017563,,,48.58,-123.64,231,,,1966,2011,1966,2007
SOOKE OTTER POINT,BC,1017570,,,48.37,-123.82,39.6,,,1974,1977,1974,1977
SOOKE SASEENOS,BC,1017575,,,48.38,-123.67,27.4,,,1976,1979,1976,1979
SOUTH PENDER ISLAND 2,BC,1017610,,,48.75,-123.22,91.1,,,1966,1982,1966,1982
TRIAL ISLAND,BC,1018238,71034,WIN,48.4,-123.3,23,1997,1998,1998,1998,,
VICTORIA AMROTH PLACE,BC,1018590,,,48.45,-123.28,18.3,,,1967,1969,1967,1969
VICTORIA ARDMORE,BC,1018592,,,48.63,-123.47,24.4,,,1973,1976,1973,1976
VICTORIA BAY STREET,BC,1018595,,,48.43,-123.37,13.7,,,1958,1961,1958,1961
VICTORIA UNIVERSITY CS,BC,1018598,71783,WYJ,48.46,-123.3,60.1,1994,2019,1992,2019,1992,2007
VICTORIA CAREY ROAD,BC,1018600,,,48.47,-123.47,19.8,,,1966,1967,1966,1967
VICTORIA FRANCIS PARK,BC,1018605,,,48.48,-123.44,55,,,1962,2017,1962,2007
VICTORIA GONZALES HTS,BC,1018610,,WLM,48.41,-123.33,69.5,1953,2000,1898,2004,1898,2004
VICTORIA GONZALES CS,BC,1018611,71200,WLM,48.41,-123.32,61.04,1994,2019,1973,2019,1972,2007
VICTORIA GORDON HEAD,BC,1018614,,,48.47,-123.3,42.7,,,1959,1983,1959,1983
VICTORIA HARBOUR A,BC,1018615,,YWH,48.42,-123.39,0,1994,2015,,,,
VICTORIA HIGHLAND,BC,1018616,,,48.51,-123.51,190.6,,,1961,2012,1961,2007
VICTORIA HOLLAND 2,BC,1018617,,,48.48,-123.41,15.2,,,1960,2002,1960,2002
VICTORIA HIGHLANDS NORTH,BC,1018618,,,48.54,-123.5,230,,,2011,2017,,
VICTORIA HARBOUR A,BC,1018619,,YWH,48.42,-123.39,0,2015,2019,,,,
VICTORIA INT'L A,BC,1018620,71799,YYJ,48.65,-123.43,19.51,1953,2013,1940,2013,1940,2013
VICTORIA INTL A,BC,1018621,71799,YYJ,48.65,-123.43,19.5,2013,2019,2013,2019,,
VICTORIA JUBILEE,BC,1018629,,,48.43,-123.33,23.5,,,1968,1969,1968,1969
VICTORIA HARBOUR A,BC,1018633,,YWH,48.42,-123.39,0,2015,2019,2018,2019,,
VICTORIA LANSDOWNE,BC,1018640,,,48.43,-123.32,29,,,1954,1962,1954,1962
VICTORIA MARINE,BC,1018642,,,48.37,-123.75,31.7,1967,1992,1967,1992,1967,1992
VICTORIA MUSGRAVE STREET,BC,1018644,,,48.43,-123.3,15.2,,,1966,1967,1966,1967
VICTORIA NORTH DAIRY RD,BC,1018648,,,48.45,-123.33,40.8,,,1964,1965,1964,1965
VICTORIA NORTHRIDGE,BC,1018651,,,48.49,-123.4,37,,,1990,1999,1990,1999
VICTORIA ROWLEY ROAD,BC,1018657,,,48.47,-123.3,13.4,,,1962,1962,1962,1962
VICTORIA SINCLAIR ROAD,BC,1018658,,,48.47,-123.3,53.3,,,1960,1960,1960,1960
VICTORIA TILLICUM,BC,1018660,,,48.45,-123.39,22.9,,,1958,2000,1958,2000
VICTORIA TUDOR AVENUE,BC,1018666,,,48.45,-123.27,21.6,,,1962,1963,1962,1963
WILLIAM HEAD,BC,1018935,,,48.34,-123.54,12.2,,,1959,2018,1959,2007
VICTORIA U VIC,BC,1018FF6,,,48.47,-123.33,68.4,,,1974,1988,1974,1988
VICTORIA HARTLAND CS,BC,1018FJ5,,,48.53,-123.46,154.1,1994,2012,1994,2012,1994,2005
YOUBOU,BC,1019010,,,48.88,-124.22,173.7,,,1959,1967,1959,1967
YOUBOU SCHOOL,BC,1019014,,,48.88,-124.22,189,,,1971,1973,1971,1973
CHEMAINUS BARE POINT,BC,101AE00,,,48.92,-123.7,3,,,1979,1979,1979,1979
GALIANO SOUTH,BC,101C04E,,,48.87,-123.32,15.2,,,1977,1978,1977,1978
GALIANO SOUTH 2,BC,101C0ME,,,48.88,-123.35,61,,,1979,1984,1979,1984
SAANICHTON MT NEWTON 2,BC,101F940,,,48.6,-123.45,68,,,1993,1995,1993,1995
SAANICH OLDFIELD NORTH,BC,101F942,,,48.55,-123.42,69.5,,,1965,1967,1966,1967
SATURNA ISLAND CAMPBELL SCIENTIFIC,BC,101G100,,,48.78,-123.05,24.4,1980,1992,,,,
VICTORIA WEST,BC,101H6FF,,,48.43,-123.38,15.2,,,1967,1968,1967,1968
VICTORIA WILLOWS PARK,BC,101HF66,,,48.43,-123.3,9.1,,,1970,1979,1970,1979
VICTORIA PHYLLIS STREET,BC,101HFEE,,,48.46,-123.27,7.6,,,1973,2001,1973,2001
VICTORIA PORTAGE INLET,BC,101HFNE,,,48.45,-123.43,6.1,,,1976,1983,1976,1983
CORDOVA BAY CLAREMOUNT,BC,101J9K0,,,48.52,-123.37,80,,,1993,1995,1993,1995
VICTORIA PRINCESS AVE,BC,101Q655,,,48.43,-123.35,27,,,1973,1991,1973,1991
VICTORIA PROSPECT LAKE,BC,101Q6NN,,,48.52,-123.43,61,,,1973,1986,1973,1986
VICTORIA SHELBOURNE,BC,101QF57,,,48.47,-123.33,49,,,1964,1991,1964,1991
VICTORIA SHORT STREET,BC,101QFEG,,,48.45,-123.37,21.3,,,1961,1973,1961,1973
ALERT BAY,BC,1020270,,,50.58,-126.93,59.4,1954,1994,1913,2006,1913,1994
BALLENAS ISLAND,BC,1020590,71769,WGB,49.35,-124.16,14.51,1994,2019,1966,2019,1967,2007
BLACK CREEK,BC,1020880,,,49.85,-125.13,46,,,1964,2008,1964,2005
BLACK CREEK SE,BC,1020881,,,49.8,-125.09,87.8,,,2006,2016,2006,2007
BLIND CHANNEL,BC,1020885,,,50.42,-125.5,3,,,1956,1993,1956,1993
BOWSER,BC,1020910,,,49.45,-124.67,3,,,1957,1958,1957,1958
NANAIMO HARBOUR,BC,1021052,,WNA,49.17,-123.93,5,1994,1995,,,,
CAMERON LAKE,BC,1021230,,,49.28,-124.58,193,,,1924,1986,1924,1986
CAMPBELL LAKE,BC,1021250,,,50.02,-125.4,15.2,,,1919,1933,1919,1933
CAMPBELL RIVER,BC,1021260,,,50.02,-125.3,79.2,,,1936,1969,1936,1969
CAMPBELL RIVER A,BC,1021261,,YBL,49.95,-125.27,108.8,1979,2013,1965,2019,1965,2007
CAMPBELL RIVER BCFS,BC,1021262,,,50.07,-125.32,128,,,1969,1982,1969,1982
CAMPBELL RIVER BCHPA GEN,BC,1021263,,,50.05,-125.32,30.5,,,1972,1982,1972,1982
CAMPBELL R LAKEVIEW FC,BC,1021264,,,50.2,-125.55,198.1,,,1970,1973,1970,1973
CAMPBELL RIVER STP,BC,1021265,,,50.02,-125.23,3,,,1982,1996,1982,1996
CAMPBELL RIVER SURFSIDE,BC,1021266,,,49.95,-125.21,9,,,1981,2015,1981,2007
CAMPBELL RIVER A,BC,1021267,,YBL,49.95,-125.27,108.8,2013,2019,,,,
CAMPBELL RIVER A,BC,1021270,,YBL,49.95,-125.27,108.8,2014,2019,2018,2019,,
CAPE LAZO,BC,1021320,,,49.7,-124.87,38.1,,,1935,1962,1935,1962
CAPE MUDGE,BC,1021330,,WAD,50,-125.2,4.6,1994,2001,1978,2019,1978,2007
CAPE MUDGE CS,BC,1021332,,WYA,50,-125.2,4,1998,1998,,,,
CHATHAM POINT,BC,1021480,,WFM,50.33,-125.45,22.9,1994,2001,1958,2019,1958,2007
CHROME ISLAND,BC,1021500,,,49.47,-124.68,10,,,2013,2019,,
CHROME ISLAND,BC,1021616,,WOG,49.47,-124.68,11.3,1997,1998,1998,1998,,
COAL HARBOUR RUPERT IN,BC,1021737,,,50.6,-127.5,57.3,,,1968,1996,1968,1996
COMOX A,BC,1021830,71893,YQQ,49.72,-124.9,25.6,1953,2019,1944,2019,1944,2017
COMOX PCC,BC,1021838,,,49.69,-125.03,11.9,,,1984,2005,1984,2005
COOMBS,BC,1021850,,,49.31,-124.43,98.1,,,1960,2010,1960,2007
CORTES ISLAND,BC,1021950,,,50.08,-125.03,6.1,,,1947,1995,1947,1995
CORTES ISL SUTIL POINT,BC,1021958,,,50.02,-124.98,15.2,,,1973,1986,1973,1986
CORTES ISLAND TIBER BAY,BC,1021960,,,50.07,-124.95,15,,,1960,2019,1960,2007
COURTENAY GRANTHAM,BC,1021988,,,49.76,-125,81,,,1960,2019,1960,2007
COURTENAY PUNTLEDGE,BC,1021989,,,49.69,-125.03,40,,,1984,2019,1984,2007
COURTENAY PUNTLEDGE BCHP,BC,1021990,,,49.68,-125.03,24.4,,,1921,1964,1921,1964
COURTENAY SANDWICK,BC,1021994,,,49.7,-124.97,76,,,1989,1993,1989,1993
CUMBERLAND,BC,1022250,,,49.62,-125.03,159.4,,,1893,1977,1893,1977
DENMAN ISLAND,BC,1022430,,,49.52,-124.78,13.5,,,1906,1993,1906,1993
DENMAN ISLAND EAST SHORE,BC,1022433,,,49.52,-124.74,13,,,1987,1989,1987,1989
DENMAN ISLAND 2,BC,1022436,,,49.55,-124.8,92,,,1989,1996,1989,1996
DUNCAN BAY,BC,1022560,,,50.07,-125.28,11,,,1957,1994,1957,1994
DUNCAN GLENORA,BC,1022571,,,48.76,-123.77,84,,,1994,2010,1994,2007
ENTRANCE ISLAND,BC,1022688,,,49.2,-123.8,3.3,,,1914,1918,1914,1918
ENTRANCE ISLAND,BC,1022689,71772,WEL,49.21,-123.81,7.6,1994,2019,1992,2019,1992,2006
FANNY ISLAND,BC,1022795,71568,XFA,50.45,-125.99,5.2,2000,2019,2000,2019,2000,2007
FRENCH CREEK,BC,1023037,,,49.35,-124.37,38.1,,,1892,1903,1892,1903
GABRIOLA ISLAND,BC,1023042,,,49.15,-123.73,46,,,1967,2017,1967,2007
HERIOT BAY SE,BC,1023462,,,50.1,-125.2,17,,,1984,2019,1984,2007
HILLIERS,BC,1023471,,,49.3,-124.5,150,,,1987,1988,1987,1988
HORNBY ISLAND,BC,1023590,,,49.53,-124.6,6.1,,,1907,1970,1907,1970
KELSEY BAY,BC,1024005,,,50.38,-125.95,4.9,,,1954,1956,1954,1956
LADYSMITH,BC,1024485,,,48.95,-123.65,24.4,,,1913,1923,1913,1923
LASQUETI ISLAND,BC,1024590,,,49.5,-124.33,4.6,,,1950,1954,1950,1954
LAZO,BC,1024592,,,49.73,-124.9,3.7,,,1914,1927,1914,1927
LITTLE QUALICUM,BC,1024637,,,49.35,-124.78,186.5,,,1908,1921,1908,1921
LITTLE QUALICUM HATCHERY,BC,1024638,,,49.35,-124.51,30,,,1981,2019,1981,2007
LITTLE QUALICUM R ESTY,BC,1024639,,,49.37,-124.48,1.5,,,1974,1974,1974,1974
LITTLE QUALICUM RIVER GANSKE ROAD,BC,1024642,,,49.37,-124.5,42,,,1987,1992,1987,1992
MT WASHINGTON,BC,1025230,,VOJ,49.75,-125.29,1473.5,2007,2010,2007,2010,,
MT WASHINGTON RESORT,BC,1025234,,,49.75,-125.29,1197,,,1979,1999,1980,1999
MT WASHINGTON UPPER,BC,1025237,,,49.75,-125.29,1450,,,1990,1999,1990,1999
MUD BAY,BC,1025240,,,49.47,-124.79,4,,,1971,2015,1971,2007
MYRA CREEK,BC,1025254,,,49.58,-125.61,353.9,,,1979,2015,1979,2007
NANAIMO,BC,1025340,,,49.18,-123.97,70.1,,,1892,1968,1892,1968
NANAIMO A,BC,1025365,,YCD,49.05,-123.87,28,2014,2019,2018,2019,,
NANAIMO A,BC,1025369,,YCD,49.05,-123.87,28,2013,2019,2016,2019,,
NANAIMO A,BC,1025370,,YCD,49.05,-123.87,28.04,1954,2013,1947,2016,1947,2007
NANAIMO WATER RESERVOIR,BC,1025371,,,49.15,-123.97,114.3,,,1962,1967,1962,1967
NANOOSE BAY,BC,1025375,,,49.28,-124.18,82,,,1912,1989,1912,1989
NANOOSE BAY AUTO,BC,1025376,,VNB,49.27,-124.15,5,2014,2015,,,,
NANOOSE BAY SOUTH,BC,1025377,,,49.25,-124.18,111,,,1988,2007,1988,2007
NANAIMO CITY YARD,BC,10253G0,,,49.2,-123.99,114,,,1981,2019,1981,2007
NANAIMO CHUB,BC,10253P0,,,49.17,-123.93,21.3,,,1969,1977,1969,1977
OYSTER RIVER UBC,BC,1025915,,,49.88,-125.13,10.7,,,1967,2006,1967,2006
PARKSVILLE,BC,1025970,,,49.3,-124.3,82.3,,,1915,1960,1915,1960
PARKSVILLE NORTHWEST,BC,1025975,,,49.33,-124.33,30.5,,,1961,1965,1961,1965
PARKSVILLE SOUTH,BC,1025977,,,49.33,-124.3,0.9,,,1967,1993,1967,1993
NANAIMO DEPARTURE BAY,BC,1025C70,,,49.22,-123.95,7.6,,,1913,1992,1913,1992
PINE ISLAND,BC,1026170,,WPI,50.98,-127.73,28,1994,2001,1984,2018,1984,2007
PORT HARDY,BC,1026266,,,50.67,-127.48,3,,,1928,1944,1928,1944
PORT HARDY A,BC,1026270,71109,YZT,50.68,-127.37,21.6,1953,2013,1944,2013,1944,2013
PORT HARDY A,BC,1026271,71109,YZT,50.68,-127.37,21.6,2013,2019,2013,2019,,
PORT HARDY BEAVER HR,BC,1026274,,,50.72,-127.43,4.6,,,1959,1975,1959,1975
PORT MCNEILL,BC,1026323,,,50.58,-127.08,91.4,,,1974,1983,1974,1982
QUADRA ISLAND,BC,1026560,,,50.18,-125.18,31.1,,,1983,1984,1983,1984
QUALICUM BEACH AIRPORT,BC,1026562,71766,VOQ,49.34,-124.39,58.2,2006,2019,2006,2019,2006,2006
QUALICUM BEACH,BC,1026563,,,49.33,-124.43,9.1,,,1913,1937,1913,1937
QUALICUM BEACH YAMBURY,BC,1026564,,,49.35,-124.38,3,,,1965,1965,1965,1965
QUALICUM R FISH RESEARCH,BC,1026565,,,49.39,-124.62,7.6,,,1962,2019,1962,2007
QUINSAM RIVER HATCHERY,BC,1026639,,,50.02,-125.3,45.7,,,1975,2019,1975,2007
SANDWICK,BC,1027060,,,49.75,-125.05,45.7,,,1914,1943,1914,1943
SAVARY ISLAND,BC,1027110,,,49.93,-124.85,38,,,1919,1989,1919,1989
SAYWARD,BC,1027112,,,50.37,-126,,,,1920,1930,1920,1930
SAYWARD 2,BC,1027114,,,50.32,-125.93,16,,,1973,2006,1973,2006
SAYWARD BIG TREE CREEK,BC,1027115,,,50.23,-125.77,57,,,1987,1990,1987,1990
SISTERS ISLAND,BC,1027403,71781,WGT,49.49,-124.43,20,1995,2019,1992,2019,1992,2004
STRATHCONA DAM,BC,1027775,,,50,-125.58,201.2,,,1967,1977,1967,1977
STRATHCONA PARK LODGE,BC,10277GN,,,49.88,-125.65,228.6,,,1975,1980,1975,1980
SURGE NARROWS READ IS,BC,1027870,,,50.22,-125.1,76.2,,,1962,1983,1962,1983
SURGE NARROWS RENDEZVOUS,BC,1027871,,,50.28,-125.07,9.1,,,1972,1973,1972,1973
VANANDA,BC,1028340,,,49.75,-124.58,12.2,,,1916,1952,1916,1952
UPPER CAMPBELL LAKE,BC,1028L3M,,,49.9,-125.63,548.6,,,1980,1998,1980,1998
ENTRANCE ISLAND,BC,102BFHH,,,49.21,-123.81,7,,,1987,2019,1987,2007
NANAIMO NORTH,BC,102E3G0,,,49.22,-123.98,98,,,1989,1989,1989,1989
NANAIMO RIVER CAMP,BC,102ECG0,,,49.08,-124.08,204.2,,,1962,1968,1962,1968
COURTENAY MEADOWBROOK,BC,102JR88,,,49.72,-124.98,35,,,1987,2010,1987,2007
STUART CHANNEL BOAT HARBOUR,BC,102PG75,,,49.09,-123.8,14,,,1987,2006,1987,2006
ALBERNI BEAVER CREEK,BC,1030180,,,49.37,-124.93,91.4,,,1894,1959,1894,1959
ALBERNI CITY RESERVOIR,BC,1030185,,,49.27,-124.78,64.6,,,1962,1963,1962,1963
ALBERNI LUPSI CUPSI,BC,1030210,,,49.25,-124.82,9.1,,,1948,1974,1948,1974
ALBERNI MCCOY LAKE,BC,1030220,,,49.28,-124.88,42.7,,,1958,1973,1958,1973
ALBERNI ROBERTSON CREEK,BC,1030230,,,49.34,-124.98,73.75,,,1961,2019,1961,2007
AMPHITRITE POINT,BC,1030425,,,48.92,-125.53,10.7,,,1958,1980,1958,1980
AMPHITRITE POINT,BC,1030426,,WAN,48.92,-125.54,26.5,1980,2001,1980,2010,1980,1999
ASH RIVER,BC,1030550,,,49.47,-125.08,304.8,,,1957,1959,1958,1959
ASH RIVER GENERATING STN,BC,1030552,,,49.37,-125.15,91.4,,,1959,1969,1959,1969
BAMFIELD,BC,1030600,,,48.83,-125.1,21.3,,,1903,1956,1903,1956
BAMFIELD EAST,BC,1030605,,,48.83,-125.12,4,,,1959,2001,1959,2001
BAMFIELD WEST,BC,1030610,,,48.83,-125.15,3,,,1955,1959,1955,1959
BENSON LAKE,BC,1030850,,,50.37,-127.23,144.8,,,1959,1972,1959,1972
BULL HARBOUR,BC,1031110,,,50.92,-127.95,13.7,1953,1988,1921,1988,1921,1988
CAPE BEALE LIGHT,BC,1031316,,,48.79,-125.22,25.9,,,1984,2019,1984,2007
CAPE SCOTT,BC,1031352,,,50.8,-128.45,6.1,,,1897,1909,1897,1908
CAPE SCOTT,BC,1031353,,WES,50.78,-128.43,71.6,1966,2001,1965,2016,1965,2007
CARMANAH,BC,1031400,,,48.63,-124.78,39.6,,,1891,1902,1891,1902
CARMANAH POINT,BC,1031402,,,48.61,-124.75,38.1,,,1968,2016,1968,2007
CARNATION CREEK CDF,BC,1031413,,,48.9,-125,61,,,1971,1990,1971,1990
CLAYOQUOT,BC,1031650,,,49.15,-125.9,22.9,,,1896,1959,1896,1958
CONUMA RIVER HATCHERY,BC,1031844,,,49.8,-126.42,12,,,1989,2018,1989,2007
ELK LAKE JEUNE LANDING,BC,1032660,,,50.37,-127.3,109.7,,,1924,1938,1924,1938
ESTEVAN POINT,BC,1032730,,,49.38,-126.54,5.8,1953,1979,1908,2019,1908,2007
ESTEVAN POINT CS,BC,1032731,71894,WEB,49.38,-126.54,5.8,1994,2019,1993,2019,1997,2007
GOLD RIVER,BC,1033230,,,49.67,-126.17,3,,,1958,1965,1958,1965
